Using cpu device
Logging to runs/pponew/PPO_4
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 78.2        |
|    ep_rew_mean          | 1           |
| time/                   |             |
|    fps                  | 830         |
|    iterations           | 7           |
|    time_elapsed         | 17          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.011068877 |
|    clip_fraction        | 0.0743      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | -0.735      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0661      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0107     |
|    value_loss           | 0.252       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 77.8        |
|    ep_rew_mean          | 1           |
| time/                   |             |
|    fps                  | 821         |
|    iterations           | 8           |
|    time_elapsed         | 19          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.009867113 |
|    clip_fraction        | 0.0811      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.9        |
|    explained_variance   | -0.328      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0286     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0109     |
|    value_loss           | 0.0399      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 78.7        |
|    ep_rew_mean          | 1           |
| time/                   |             |
|    fps                  | 816         |
|    iterations           | 9           |
|    time_elapsed         | 22          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.009901091 |
|    clip_fraction        | 0.0979      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.9        |
|    explained_variance   | -0.055      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00249    |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0118     |
|    value_loss           | 0.00797     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 79.2         |
|    ep_rew_mean          | 1            |
| time/                   |              |
|    fps                  | 813          |
|    iterations           | 10           |
|    time_elapsed         | 25           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0039309193 |
|    clip_fraction        | 0.0124       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.89        |
|    explained_variance   | 0.0213       |
|    learning_rate        | 0.0003       |
|    loss                 | 8.43         |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00188     |
|    value_loss           | 31.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 79          |
|    ep_rew_mean          | 1           |
| time/                   |             |
|    fps                  | 802         |
|    iterations           | 11          |
|    time_elapsed         | 28          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.011201512 |
|    clip_fraction        | 0.0815      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.87       |
|    explained_variance   | -0.755      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.151       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0113     |
|    value_loss           | 0.475       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 78.4        |
|    ep_rew_mean          | 1           |
| time/                   |             |
|    fps                  | 799         |
|    iterations           | 12          |
|    time_elapsed         | 30          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.008353064 |
|    clip_fraction        | 0.0671      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.87       |
|    explained_variance   | -0.193      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0279      |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00901    |
|    value_loss           | 0.107       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 78.9         |
|    ep_rew_mean          | 0            |
| time/                   |              |
|    fps                  | 800          |
|    iterations           | 13           |
|    time_elapsed         | 33           |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0090252105 |
|    clip_fraction        | 0.0682       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.86        |
|    explained_variance   | 0.125        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00098     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00921     |
|    value_loss           | 0.0327       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80          |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 798         |
|    iterations           | 14          |
|    time_elapsed         | 35          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.008254856 |
|    clip_fraction        | 0.0979      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.87       |
|    explained_variance   | 0.303       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0405     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0123     |
|    value_loss           | 0.0104      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80.3        |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 798         |
|    iterations           | 15          |
|    time_elapsed         | 38          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.009887304 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.257       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00364    |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0144     |
|    value_loss           | 0.00444     |
-----------------------------------------
